class,n_validation,accuracy,group
chair,101,0.8217821782178217,highest
road,104,0.8076923076923077,highest
sunflower,106,0.7735849056603774,highest
cockroach,99,0.7676767676767676,highest
plain,107,0.7570093457943925,highest
wardrobe,100,0.74,highest
lawn_mower,91,0.7362637362637363,highest
maple_tree,101,0.7326732673267327,highest
skunk,97,0.7319587628865979,highest
cloud,104,0.7307692307692307,highest
mouse,120,0.03333333333333333,lowest
seal,103,0.0970873786407767,lowest
otter,95,0.10526315789473684,lowest
squirrel,105,0.11428571428571428,lowest
lizard,106,0.1320754716981132,lowest
tulip,94,0.13829787234042554,lowest
girl,110,0.14545454545454545,lowest
snail,93,0.15053763440860216,lowest
rabbit,102,0.17647058823529413,lowest
sweet_pepper,90,0.18888888888888888,lowest
