epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,4.280243218994141,0.046175,3.995435057449341,0.081
2,3.8982611053466796,0.095,3.6912367042541505,0.132
3,3.635135577392578,0.138725,3.4337981327056886,0.1767
4,3.437914703369141,0.17375,3.2570606147766115,0.2106
5,3.2967326568603514,0.1968,3.077050903701782,0.2383
6,3.182006948852539,0.218075,2.974084038925171,0.2601
7,3.08770274810791,0.23665,2.8765892932891846,0.2744
8,3.0067752716064455,0.249675,2.7840092544555666,0.2942
9,2.9168205657958985,0.26795,2.738250492858887,0.3057
10,2.8663615631103516,0.2807,2.678162503051758,0.3149
11,2.796739553833008,0.29355,2.6235587875366213,0.3295
12,2.734785910797119,0.303675,2.5568969108581543,0.3435
13,2.690910208129883,0.3153,2.5044613903045656,0.3539
14,2.6482928760528566,0.3215,2.5070638931274414,0.3546
15,2.589354148864746,0.333875,2.4391150760650633,0.3693
16,2.5525194641113282,0.340925,2.4356113948822022,0.3705
17,2.515593766403198,0.348225,2.3678151519775392,0.3847
18,2.461093099975586,0.36075,2.309637451553345,0.4009
19,2.4260781101226807,0.36855,2.315991184616089,0.3999
20,2.389390863800049,0.377625,2.2382064239501953,0.4145
21,2.348452425003052,0.384125,2.300094151306152,0.3991
22,2.308417308807373,0.392275,2.2128021179199218,0.4185
23,2.2903638568878173,0.3983,2.1940880588531493,0.4205
24,2.2641169578552245,0.40265,2.1921104862213134,0.4248
25,2.2327108276367187,0.4071,2.1351512622833253,0.4316
26,2.190438084411621,0.419975,2.120555457305908,0.4366
27,2.1642141256332397,0.42295,2.063796161651611,0.4526
28,2.1281110540390014,0.4326,2.1082888454437256,0.4434
29,2.1076289741516114,0.43925,2.0710060882568357,0.4551
30,2.0811080741882324,0.4432,2.0403552394866944,0.4608
31,2.054379955291748,0.450325,2.016817358779907,0.4663
32,2.0411890434265136,0.452,2.0328181713104247,0.4568
33,2.009679210281372,0.45695,1.979230834007263,0.4692
34,1.990467803955078,0.461225,1.986929522705078,0.4715
35,1.9664109535217285,0.4682,1.944664807319641,0.4811
36,1.9513456523895263,0.4681,1.9431409414291383,0.4816
37,1.9404265548706054,0.47545,1.9267479362487794,0.4847
38,1.9339491973876952,0.474525,1.941003045463562,0.4856
39,1.8978565557479858,0.48325,1.952882409286499,0.4815
40,1.8697682075500488,0.4901,1.894473108482361,0.4946
